# https://finance.yahoo.com/quote/BTC-USD/history/,,,,
Open,High,Low,Volume,Close
28732.8125,30104.08594,28601.66992,21536125230,29682.94922
29683.38086,30287.48242,29481.75195,11541146996,29918.41211
29918.6543,30199.43359,29720.3125,10446520040,29993.89648
30140.68555,34370.4375,30097.82813,38363572311,33086.23438
33077.30469,35150.43359,32880.76172,44934999645,33901.52734
33916.04297,35133.75781,33709.10938,25254318008,34502.82031
34504.28906,34832.91016,33762.32422,19427195376,34156.64844
34156.5,34238.21094,33416.88672,16418032871,33909.80078
33907.72266,34399.39063,33874.80469,10160330825,34089.57422
34089.37109,34743.26172,33947.56641,11160323986,34538.48047
34531.74219,34843.93359,34110.97266,17184860315,34502.36328
34500.07813,34719.25391,34083.30859,15758270810,34667.78125
34657.27344,35527.92969,34170.69141,22446272005,35437.25391
35441.57813,35919.84375,34401.57422,20998158544,34938.24219
34942.47266,34942.47266,34133.44141,17158456701,34732.32422
34736.32422,35256.03125,34616.69141,9561294264,35082.19531
35090.01172,35340.33984,34594.24219,12412743996,35049.35547
35044.78906,35286.02734,34765.36328,12693436420,35037.37109
35047.79297,35892.41797,34545.81641,18834737789,35443.5625
35419.47656,35994.41797,35147.80078,17295394918,35655.27734
35633.63281,37926.25781,35592.10156,37762672382,36693.125
36702.25,37493.80078,36362.75391,22711265155,37313.96875
37310.07031,37407.09375,36773.66797,13924272142,37138.05078
37133.99219,37227.69141,36779.11719,11545715999,37054.51953
37070.30469,37405.11719,36399.60547,19057712790,36502.35547
36491.78906,36753.35156,34948.5,23857403554,35537.64063
35548.11328,37964.89453,35383.78125,27365821679,37880.58203
37879.98047,37934.625,35545.47266,26007385366,36154.76953
36164.82422,36704.48438,35901.23438,22445028430,36596.68359
36625.37109,36839.28125,36233.3125,11886022717,36585.70313
36585.76563,37509.35547,36414.59766,12915986553,37386.54688
37374.07422,37756.82031,36882.53125,20888209068,37476.95703
37469.16016,37631.14063,35813.8125,25172163756,35813.8125
35756.55469,37856.98047,35670.97266,24397247860,37432.33984
37420.43359,37643.91797,36923.86328,14214948217,37289.62109
37296.31641,38415.33984,37261.60547,22922957823,37720.28125
37721.41406,37892.42969,37617.41797,9099571165,37796.79297
37796.82813,37820.30078,37162.75,13744796068,37479.12109
37454.19141,37559.35547,36750.12891,19002925720,37254.16797
37247.99219,38368.48047,36891.08984,21696137014,37831.08594
37826.10547,38366.11328,37612.63281,20728546658,37858.49219
37861.11719,38141.75391,37531.14063,18115982627,37712.74609
37718.00781,38954.10938,37629.35938,23512784002,38688.75
38689.27734,39678.9375,38652.59375,15534035612,39476.33203
39472.20703,40135.60547,39298.16406,15769696322,39978.39063
39978.62891,42371.75,39978.62891,39856129827,41980.09766
41986.26563,44408.66406,41421.14844,36312154535,44080.64844
44080.02344,44265.76953,43478.08203,29909761586,43746.44531
43769.13281,44042.58984,42880.64844,27635760671,43292.66406
43293.13672,44705.51563,43125.29688,24421116687,44166.60156
44180.01953,44361.25781,43627.59766,17368210171,43725.98438
43728.38281,44034.625,43593.28516,13000481418,43779.69922
43792.01953,43808.375,40234.57813,40632672038,41243.83203
41238.73438,42048.30469,40667.5625,24779520132,41450.22266
41468.46484,43429.78125,40676.86719,26797884674,42890.74219
42884.26172,43390.85938,41767.08984,25578530178,43023.97266
43028.25,43087.82422,41692.96875,19639442462,41929.75781
41937.74219,42664.94531,41723.11328,14386729590,42240.11719
42236.10938,42359.49609,41274.54297,16678702876,41364.66406
41348.20313,42720.29688,40530.25781,25224642008,42623.53906
42641.51172,43354.29688,41826.33594,23171001281,42270.52734
42261.30078,44275.58594,42223.81641,27868908174,43652.25
43648.125,44240.66797,43330.05078,22452766169,43869.15234
43868.98828,44367.95703,43441.96875,21028503216,43997.90234
44012.19922,44015.69922,43351.35547,13507796558,43739.54297
43728.36719,43945.52344,42786.91797,18830554085,43016.11719
43010.57422,43765.09375,42765.76953,21115795370,43613.14063
43599.84766,43603.17578,41676.48828,30026850982,42520.40234
42518.46875,43683.16016,42167.58203,25260941032,43442.85547
43468.19922,43804.78125,42318.55078,22992093014,42627.85547
42614.64453,43124.32422,41424.0625,26000021055,42099.40234
42091.75391,42584.125,41556.22656,16013925945,42156.90234
42152.09766,42860.9375,41998.25391,16397498810,42265.1875
42280.23438,44175.4375,42214.97656,18426978443,44167.33203
44187.14063,45899.70703,44176.94922,39335274536,44957.96875
44961.60156,45503.24219,40813.53516,46342323118,42848.17578
42855.81641,44770.02344,42675.17578,30448091210,44179.92188
44192.98047,44353.28516,42784.71875,32336029347,44162.69141
44178.95313,44227.63281,43475.15625,16092503468,43989.19531
43998.46484,44495.57031,43662.23047,19330573863,43943.09766
43948.70703,47218,43244.08203,42746192015,46970.50391
46987.64063,47893.69922,45244.71484,39821290992,46139.73047
46121.53906,47647.22266,44483.15234,50114613298,46627.77734
46656.07422,48969.37109,45678.64453,45833734549,46368.58594
46354.79297,46498.13672,41903.76953,43332698900,42853.16797
42799.44531,43234.66016,42464.14453,20601860469,42842.38281
42842.26172,43065.59766,41724.61328,17521429522,41796.26953
41715.06641,43319.72266,41705.41797,22320220558,42511.96875
42499.33594,43566.27344,42085.99609,24062872740,43154.94531
43132.10156,43189.89063,42189.30859,20851232595,42742.65234
42742.3125,42876.34766,40631.17188,25218357242,41262.05859
41278.46094,42134.16016,40297.45703,25752407154,41618.40625
41624.58984,41877.89453,41446.82422,11586690904,41665.58594
41671.48828,41855.36719,41497.00781,9344043642,41545.78516
41553.65234,41651.20703,39450.11719,31338708143,39507.36719
39518.71484,40127.35156,38521.89453,29244553045,39845.55078
39877.59375,40483.78516,39508.79688,22359526178,40077.07422
40075.55078,40254.48047,39545.66406,18491782013,39933.80859
39936.81641,42209.38672,39825.69141,25598119893,41816.87109
41815.625,42195.63281,41431.28125,11422941934,42120.05469
42126.125,42797.17578,41696.91016,16858971687,42035.59375
42030.91406,43305.86719,41818.33203,20668476578,43288.24609
43300.22656,43838.94531,42711.37109,23842814518,42952.60938
42946.25,43717.40625,42298.94531,24673628793,42582.60547
42569.76172,43243.16797,41879.19141,21423953779,43075.77344
43077.64063,43422.48828,42584.33594,18603843039,43185.85938
43184.96484,43359.94141,42890.80859,11169245236,42992.25
42994.94141,43097.64453,42374.83203,14802225490,42583.58203
42577.62109,43494.25,42264.81641,18715487317,42658.66797
42657.39063,43344.14844,42529.01953,16798476726,43084.67188
43090.01953,44341.94922,42775.95703,21126587775,44318.22266
44332.125,45575.83984,44332.125,26154524080,45301.56641
45297.38281,48152.49609,45260.82422,39316770844,47147.19922
47153.52734,48146.17188,46905.32031,16398681570,47771.27734
47768.96875,48535.9375,47617.40625,19315867136,48293.91797
48296.38672,50280.47656,47745.76172,34511985805,49958.22266
49941.35938,50358.39063,48406.49609,35593051468,49742.44141
49733.44531,52021.37109,49296.83203,39105608050,51826.69531
51836.78516,52820.06641,51371.62891,38564360533,51938.55469
51937.72656,52537.96875,51641.36719,28180567298,52160.20313
52161.67578,52191.91406,50669.66797,20009091006,51662.99609
51661.96875,52356.96484,51233.70703,17595377311,52122.54688
52134.8125,52483.32422,51711.82031,21362184346,51779.14453
51777.72656,52945.05078,50792.3125,33353758256,52284.875
52273.53516,52368.81641,50671.75781,28624907020,51839.17969
51854.64453,52009.61328,50926.29297,25413900611,51304.97266
51283.90625,51497.93359,50561.77734,21427078270,50731.94922
50736.37109,51684.19531,50585.44531,15174077879,51571.10156
51565.21484,51950.02734,51306.17188,15413239245,51733.23828
51730.53906,54938.17578,50931.03125,34074411896,54522.40234
54519.36328,57537.83984,54484.19922,49756832031,57085.37109
57071.09766,63913.13281,56738.42578,83239156760,62504.78906
62499.18359,63585.64453,60498.73047,65496611844,61198.38281
61168.0625,63155.10156,60802.52734,40186368423,62440.63281
